Customer ID,Customer DOB,Customer Gender
1,1990-09-06,Female
2,1996-01-09,Female
3,1971-12-28,Male
4,1970-02-04,Male
5,1980-02-13,Female
6,1984-06-27,Female
7,1999-11-18,Female
8,1999-01-20,Male
9,1973-07-29,Female
10,1996-11-10,Female
11,1981-03-24,Female
12,1970-11-10,Female
13,1996-05-11,Male
14,1974-04-08,Female
15,1986-02-03,Male
16,1985-12-21,Female
17,1980-05-21,Female
18,1990-09-07,Male
19,1990-06-14,Male
20,1970-06-15,Female
21,1996-04-22,Female
22,1993-12-10,Female
23,1972-12-04,Female
24,1986-05-23,Male
25,1994-03-18,Female
26,1970-02-28,Male
27,1977-09-12,Male
28,1973-10-22,Female
29,2000-09-22,Female
30,1975-01-25,Male
31,1986-03-17,Female
32,1974-11-19,Female
33,1984-10-22,Male
34,1976-06-17,Female
35,1992-12-15,Female
36,1994-12-12,Female
37,1976-10-23,Male
38,1978-08-16,Male
39,1978-07-24,Male
40,1981-12-31,Male
41,2000-07-03,Female
42,1975-10-17,Female
43,1984-10-07,Male
44,1978-02-24,Male
45,1981-07-27,Male
46,1987-11-20,Female
47,1987-09-07,Female
48,1997-01-28,Female
49,1973-12-26,Female
50,1980-02-24,Female
51,1995-02-19,Female
52,1975-09-02,Female
53,1975-07-20,Female
54,1976-08-28,Male
55,1978-03-31,Male
56,1980-07-20,Female
57,1993-08-26,Female
58,1974-08-30,Male
59,1987-07-08,Female
60,2000-11-10,Female
61,1995-12-25,Female
62,1990-10-26,Male
63,1975-02-22,Male
64,1985-09-06,Female
65,1974-05-03,Male
66,1996-04-21,Male
67,1993-05-18,Male
68,1983-10-06,Female
69,1981-08-14,Female
70,1984-10-17,Female
71,1984-01-03,Female
72,1978-01-24,Female
73,1977-08-30,Male
74,1971-12-03,Male
75,1978-09-22,Male
76,1986-08-15,Female
77,1999-09-11,Male
78,1990-06-09,Female
79,1984-07-31,Female
80,1976-05-02,Male
81,1978-09-10,Male
82,1971-07-29,Male
83,1997-11-22,Female
84,1991-03-16,Female
85,1984-05-23,Male
86,1996-01-23,Female
87,1975-07-22,Female
88,1981-03-22,Female
89,1992-10-28,Female
90,1978-10-11,Female
91,1971-05-08,Female
92,1987-07-27,Female
93,1981-05-02,Male
94,1972-10-01,Female
95,1979-03-07,Female
96,1970-06-10,Male
97,1981-10-04,Female
98,1978-11-28,Female
99,1970-12-28,Male
100,1976-07-15,Female
101,1993-09-25,Female
102,1972-02-26,Male
103,1985-10-07,Male
104,1986-08-18,Female
105,1977-11-28,Female
106,1974-03-03,Female
107,1975-08-23,Female
108,1989-09-11,Male
109,1995-03-05,Female
110,1997-07-11,Male
111,1991-10-13,Male
112,1988-12-12,Male
113,1980-07-20,Male
114,1985-10-06,Male
115,1986-05-22,Male
116,1986-07-07,Female
117,1979-12-04,Male
118,1975-01-13,Female
119,1985-05-08,Female
120,1983-12-30,Female
121,1979-11-07,Female
122,1980-06-30,Female
123,1995-03-09,Male
124,1971-12-10,Male
125,1986-02-26,Male
126,1990-05-01,Female
127,1980-11-11,Female
128,1998-08-16,Male
129,1994-01-11,Male
130,1990-10-17,Male
131,1985-07-19,Female
132,1972-02-02,Female
133,1984-02-03,Female
134,1987-06-15,Male
135,1976-07-17,Female
136,1996-04-07,Male
137,2000-12-26,Male
138,1987-02-10,Female
139,1981-06-23,Male
140,1972-08-04,Male
141,1992-06-24,Female
142,1992-02-06,Female
143,1972-05-10,Female
144,1982-08-01,Male
145,1978-09-19,Male
146,1981-07-28,Male
147,1973-11-05,Male
148,1970-05-14,Female
149,1981-01-05,Female
150,1979-05-14,Male
151,1997-09-14,Male
152,1979-01-12,Female
153,1984-04-03,Female
154,1990-01-31,Male
155,1976-09-27,Male
156,1970-02-02,Female
157,1988-04-27,Female
158,1980-12-21,Male
159,1996-05-04,Male
160,1985-08-18,Male
161,1977-01-28,Female
162,1978-08-23,Female
163,1982-12-29,Male
164,1970-10-21,Female
165,1993-01-08,Female
166,1989-04-27,Female
167,1977-09-21,Male
168,1995-01-05,Male
169,1996-03-15,Male
170,1972-02-26,Male
171,1976-07-05,Male
172,1970-07-29,Female
173,1975-12-23,Male
174,1979-05-06,Male
175,1996-09-27,Male
176,1972-05-16,Male
177,1970-06-21,Male
178,1986-07-29,Male
179,1993-11-11,Female
180,1972-01-15,Male
181,1986-12-27,Male
182,1970-02-05,Female
183,1989-08-12,Female
184,2000-12-09,Male
185,1984-03-12,Female
186,1999-05-23,Male
187,1975-04-05,Female
188,1989-10-08,Female
189,1991-06-23,Male
190,1986-04-02,Male
191,1973-03-25,Male
192,1989-01-31,Female
193,1980-08-30,Female
194,1981-07-10,Male
195,1974-08-15,Female
196,1990-04-08,Male
197,1992-10-19,Female
198,1980-03-02,Female
199,1988-01-19,Male
200,1974-01-03,Female
201,1993-08-08,Female
202,1983-07-27,Female
203,1988-02-27,Male
204,1993-04-08,Female
205,1971-07-15,Male
206,1988-03-20,Male
207,1976-07-31,Female
208,1992-09-28,Female
209,1989-09-02,Male
210,1996-04-25,Female
211,1977-01-21,Male
212,1994-08-20,Male
213,1985-04-19,Male
214,1988-04-13,Female
215,1976-07-25,Male
216,1994-11-13,Male
217,1987-10-27,Female
218,1984-10-23,Male
219,1972-12-09,Male
220,1996-07-23,Male
221,1982-09-22,Male
222,1987-06-14,Female
223,1972-01-23,Male
224,1995-05-26,Male
225,1972-01-29,Male
226,1971-06-06,Male
227,1988-01-07,Male
228,1997-06-19,Male
229,1993-05-19,Male
230,1973-06-21,Female
231,1991-02-10,Male
232,1992-05-02,Female
233,1997-02-09,Male
234,1973-03-06,Male
235,1988-05-01,Male
236,1996-05-20,Male
237,1974-01-05,Male
238,1980-02-27,Male
239,1996-10-26,Male
240,1992-06-01,Female
241,1985-01-24,Male
242,1999-10-05,Male
243,1987-05-22,Male
244,1974-06-04,Male
245,1988-03-26,Female
246,2000-11-06,Male
247,1995-07-08,Male
248,1971-01-19,Male
249,1976-07-09,Male
250,1987-10-03,Female
251,1986-08-02,Male
252,1981-09-01,Male
253,1995-02-27,Male
254,1975-12-24,Female
255,1983-03-25,Male
256,1975-06-25,Male
257,1979-04-04,Male
258,1983-11-19,Female
259,1995-02-07,Female
260,1992-05-28,Male
261,1980-01-19,Female
262,1974-03-13,Female
263,1975-01-08,Male
264,1983-07-31,Male
265,2000-12-01,Male
266,1998-06-11,Male
267,1984-10-26,Male
268,1999-11-24,Male
269,1988-09-24,Male
270,1971-08-02,Male
271,1997-03-18,Female
272,1984-08-20,Male
273,1990-07-24,Female
274,1993-08-14,Female
275,1982-04-27,Female
276,1987-08-23,Female
277,1993-01-12,Male
278,1971-01-15,Female
279,1978-06-23,Male
280,1996-09-18,Male
281,1990-12-01,Female
282,1980-11-23,Female
283,1972-03-14,Male
284,1995-11-08,Male
285,1997-11-24,Male
286,1975-05-22,Male
287,1972-07-15,Female
288,1988-08-08,Female
289,1986-09-20,Female
290,1990-06-03,Male
291,1985-07-28,Male
292,1989-07-13,Male
293,2000-11-24,Female
294,1993-06-03,Male
295,1989-06-17,Female
296,1992-01-01,Female
297,1997-06-08,Female
298,1990-11-15,Female
299,1999-06-02,Female
300,1986-07-03,Male
301,1989-04-26,Female
302,2000-11-07,Female
303,1981-01-20,Male
304,1987-06-07,Female
305,1974-07-25,Male
306,1980-09-28,Male
307,1971-02-17,Female
308,1980-12-01,Male
309,1986-04-14,Male
310,1976-03-31,Male
311,1983-06-05,Male
312,1999-01-23,Female
313,1991-11-24,Male
314,1985-05-17,Male
315,1979-05-13,Male
316,1970-06-19,Male
317,1996-05-02,Male
318,1970-06-22,Female
319,1998-09-30,Male
320,1997-04-15,Female
321,1974-05-17,Female
322,1991-09-03,Female
323,1994-01-22,Male
324,1970-03-15,Female
325,1980-07-20,Male
326,1979-09-23,Female
327,1997-02-24,Male
328,1982-07-19,Female
329,1979-05-10,Female
330,1977-07-29,Female
331,1978-03-10,Male
332,1989-01-01,Male
333,1995-11-01,Female
334,1980-07-10,Male
335,1975-02-08,Male
336,1979-01-12,Male
337,1974-02-10,Male
338,1996-11-06,Female
339,1979-03-07,Female
340,1978-06-19,Male
341,1973-08-13,Male
342,1975-08-03,Male
343,1981-04-03,Male
344,1993-03-13,Male
345,1983-03-19,Female
346,1998-04-29,Female
347,1977-04-11,Male
348,1973-02-13,Male
349,1980-11-12,Female
350,1977-03-22,Female
351,1980-09-17,Female
352,1982-05-07,Female
353,1972-07-23,Female
354,1991-11-24,Female
355,1973-09-07,Female
356,1992-11-03,Male
357,1994-01-08,Male
358,1993-02-09,Female
359,1980-11-15,Male
360,1970-11-02,Female
361,1974-05-22,Male
362,1994-01-30,Male
363,1972-03-02,Male
364,1990-05-24,Female
365,1984-12-13,Female
366,1985-11-23,Male
367,1980-04-14,Female
368,1994-12-04,Male
369,1999-05-22,Male
370,1991-11-13,Female
371,1982-01-06,Female
372,1977-05-25,Male
373,1977-06-09,Male
374,1983-12-05,Male
375,1995-07-10,Female
376,1986-08-07,Male
377,1977-09-21,Male
378,1972-05-29,Female
379,1976-11-29,Male
380,1982-10-01,Male
381,1981-12-25,Female
382,1999-09-20,Male
383,1978-12-30,Female
384,1988-04-03,Female
385,1997-04-17,Female
386,1984-12-27,Female
387,1975-12-09,Male
388,1996-12-03,Male
389,1992-06-11,Female
390,1993-08-17,Male
391,1974-01-26,Female
392,1995-06-10,Female
393,1989-03-24,Male
394,1989-06-23,Female
395,1989-12-04,Female
396,1972-03-16,Male
397,1997-05-12,Female
398,1980-08-29,Male
399,1976-07-15,Male
400,1971-01-16,Female
401,1974-12-18,Male
402,1994-02-28,Female
403,1982-02-04,Female
404,1981-04-19,Female
405,1981-03-12,Male
406,1993-03-29,Female
407,1992-08-24,Male
408,1994-08-06,Female
409,1973-08-16,Female
410,1975-10-03,Female
411,1992-08-24,Male
412,1987-02-04,Female
413,1984-05-09,Male
414,1983-02-14,Female
415,1985-07-16,Male
416,2000-07-29,Male
417,1981-11-02,Male
418,1981-03-08,Male
419,1980-05-12,Female
420,1970-11-04,Male
421,1976-06-25,Female
422,1970-11-21,Male
423,1975-07-05,Female
424,1978-03-25,Female
425,1995-07-30,Male
426,2000-12-09,Male
427,1989-07-09,Female
428,1994-12-17,Male
429,1978-02-12,Male
430,1982-02-22,Female
431,1982-03-02,Female
432,1972-01-11,Female
433,1988-06-06,Male
434,1994-12-31,Female
435,2000-02-08,Male
436,1997-10-20,Female
437,1988-03-04,Male
438,1973-03-03,Female
439,1975-07-28,Male
440,1985-11-23,Male
441,1993-02-26,Male
442,1998-05-21,Female
443,1994-11-27,Male
444,1994-10-29,Female
445,1996-02-06,Female
446,1979-12-21,Male
447,1977-10-31,Female
448,1989-12-15,Female
449,1975-09-15,Female
450,1979-03-06,Male
451,1991-07-16,Female
452,1978-10-07,Male
453,1992-01-10,Female
454,1990-03-29,Male
455,1980-04-22,Male
456,1989-01-03,Male
457,1995-06-03,Female
458,1996-06-22,Female
459,1998-01-18,Male
460,1986-06-30,Female
461,1983-12-08,Female
462,1972-10-29,Male
463,1994-08-06,Male
464,1984-04-02,Male
465,1980-07-09,Female
466,1998-01-13,Male
467,1995-10-05,Male
468,1971-01-30,Male
469,1979-06-03,Male
470,1986-12-24,Male
471,1987-03-23,Female
472,1975-05-28,Female
473,1996-04-02,Female
474,1978-03-03,Female
475,1997-09-06,Female
476,1972-08-17,Male
477,1991-10-14,Male
478,1981-04-16,Female
479,1995-11-02,Male
480,1998-03-19,Male
481,1985-01-19,Male
482,1974-09-02,Male
483,1979-09-11,Female
484,1974-07-30,Male
485,1983-02-12,Male
486,1977-06-28,Female
487,1988-10-28,Male
488,1977-04-21,Male
489,1970-08-14,Male
490,1997-05-04,Female
491,1998-06-08,Female
492,1976-11-23,Male
493,1990-09-02,Male
494,1992-07-19,Female
495,1995-01-17,Female
496,1998-01-21,Female
497,1974-03-23,Male
498,1989-01-26,Male
499,1982-09-15,Female
500,1971-04-16,Female
