Product ID,Brand,Category,Product,Cost
8,,Battery,AA Batteries (4-pack),1.61
1,,Cable,USB-C Charging Cable,5.02
18,LG,Washing Machine,LG Washing Machine,251.89
7,LG,Monitor,LG 27in 4K Gaming Monitor,163.72
16,Lenovo,Laptop,Lenovo ThinkPad Laptop,419.81
5,Apple,Laptop,Apple Macbook Pro Laptop,713.69
12,LG,TV,LG Flatscreen TV,125.95
4,,Headphones,Wired Headphones,5.03
15,LG,Dryer,LG Dryer,251.89
10,,Battery,AAA Batteries (4-pack),1.26
9,Apple,Headphones,Apple Airpods Headphones,62.97
6,Apple,Cable,Lightning Charging Cable,6.28
11,iPhone,Phone,Apple iPhone,293.87
3,Google,Phone,Google Phone,251.89
13,LG,Monitor,LG 27in FHD Monitor,62.97
17,Vareebadd,Phone,Vareebadd Phone,167.93
14,LG,Monitor,LG 20in Monitor,46.18
2,Bose,Headphones,Bose SoundSport Headphones,41.98
19,LG,Monitor,LG 34in Ultrawide Monitor,159.53
